parent_url,url,text,link_type,link_description
https://onlinemajdoor.com/?cat=18,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://onlinemajdoor.com/?cat=11,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=11,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news-category/japan/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/japan/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?cat=17,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=17,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news-category/health/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/health/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?cat=20,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=20,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://onlinemajdoor.com/?cat=7,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=7,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news-category/more-category/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/more-category/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?p=105426,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105426,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news-category/nepal-english-news-nepal-latest-news-live-upd/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/nepal-english-news-nepal-latest-news-live-upd/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?p=105424,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105424,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/epaper/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/epaper/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://topnepalnews.com/news/25814/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F25814%2F,,social_media,facebook
https://topnepalnews.com/news/25814/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F25814%2F,,social_media,linkedin
https://topnepalnews.com/news/25814/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news/25814/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?p=105418,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105418,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://onlinemajdoor.com/?p=105421,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?p=105421,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news/41015/,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41015%2F,,social_media,facebook
https://topnepalnews.com/news/41015/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Ftopnepalnews.com%2Fnews%2F41015%2F,,social_media,linkedin
https://topnepalnews.com/news/41015/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
